date,open,high,low,close,volume
1999-01-22,0.4023,0.4490,0.3569,0.3772,271468800
1999-01-25,0.4071,0.4214,0.3772,0.4166,51048000
1999-01-26,0.4214,0.4299,0.3783,0.3843,34320000
1999-01-27,0.3856,0.3952,0.3640,0.3831,24436800
1999-01-28,0.3831,0.3856,0.3795,0.3820,22752000
1999-01-29,0.3820,0.3831,0.3640,0.3640,24403200
1999-02-01,0.3640,0.3735,0.3640,0.3712,15470400
1999-02-02,0.3640,0.3735,0.3316,0.3425,26409600
1999-02-03,0.3377,0.3544,0.3352,0.3496,7512000
1999-02-04,0.3544,0.3783,0.3496,0.3688,18192000
1999-02-05,0.3747,0.3831,0.3651,0.3795,13684800
1999-02-08,0.3820,0.3831,0.3665,0.3665,15408000
1999-02-09,0.3735,0.3760,0.3473,0.3521,8697600
1999-02-10,0.3521,0.3617,0.3425,0.3485,14822400
1999-02-11,0.3496,0.3927,0.3496,0.3783,13224000
1999-02-12,0.3831,0.4023,0.3831,0.4000,10972800
1999-02-16,0.4071,0.4239,0.3617,0.4023,21100800
1999-02-17,0.3927,0.3975,0.3735,0.3808,6772800
1999-02-18,0.3927,0.3975,0.3760,0.3868,7070400
1999-02-19,0.3831,0.4071,0.3783,0.4000,7536000
1999-02-22,0.4071,0.4119,0.3808,0.4023,20524800
1999-02-23,0.4119,0.4299,0.3879,0.4214,13809600
1999-02-24,0.4837,0.5029,0.4442,0.4550,61276800
1999-02-25,0.4741,0.4885,0.4335,0.4406,14913600
1999-02-26,0.4454,0.4598,0.4166,0.4203,17260800
1999-03-01,0.4310,0.4406,0.4023,0.4226,9216000
1999-03-02,0.4214,0.4239,0.4119,0.4191,5524800
1999-03-03,0.4214,0.4214,0.3879,0.3904,6139200
1999-03-04,0.4096,0.4119,0.3783,0.3820,5736000
1999-03-05,0.3856,0.4048,0.3856,0.4034,7876800
1999-03-08,0.3927,0.4214,0.3856,0.4096,7588800
1999-03-09,0.4082,0.4287,0.4082,0.4226,14318400
1999-03-10,0.4287,0.4287,0.4096,0.4155,23534400
1999-03-11,0.4082,0.4155,0.3975,0.3975,5428800
1999-03-12,0.4000,0.4000,0.3831,0.3904,9076800
1999-03-15,0.4000,0.4119,0.3975,0.4071,10881600
1999-03-16,0.4096,0.4144,0.3904,0.3939,7915200
1999-03-17,0.3975,0.4048,0.3868,0.3963,5136000
1999-03-18,0.3975,0.4071,0.3879,0.4011,4632000
1999-03-19,0.4000,0.4144,0.4000,0.4023,10531200
1999-03-22,0.4107,0.4119,0.3904,0.3904,3667200
1999-03-23,0.3927,0.3927,0.3592,0.3665,16396800
1999-03-24,0.3640,0.3665,0.3496,0.3640,6086400
1999-03-25,0.3628,0.3831,0.3617,0.3688,4032000
1999-03-26,0.3735,0.4023,0.3735,0.4011,8827200
1999-03-29,0.4130,0.4226,0.4059,0.4130,6595200
1999-03-30,0.4144,0.4178,0.3760,0.3783,6950400
1999-03-31,0.3904,0.4096,0.3724,0.4048,15360000
1999-04-01,0.4048,0.4071,0.3856,0.3927,3043200
1999-04-05,0.3879,0.3975,0.3783,0.3808,9864000
1999-04-06,0.3843,0.3856,0.3640,0.3712,6969600
1999-04-07,0.3735,0.4048,0.3712,0.4023,8928000
1999-04-08,0.4048,0.4214,0.4000,0.4096,13012800
1999-04-09,0.4119,0.4119,0.4000,0.4023,4862400
1999-04-12,0.3975,0.3975,0.3783,0.3856,3331200
1999-04-13,0.3927,0.3927,0.3640,0.3699,3614400
1999-04-14,0.3688,0.3772,0.3592,0.3592,4828800
1999-04-15,0.3688,0.3688,0.3592,0.3688,3585600
1999-04-16,0.3665,0.3868,0.3665,0.3808,3892800
1999-04-19,0.3856,0.3856,0.3592,0.3640,3129600
1999-04-20,0.3640,0.3783,0.3532,0.3569,6768000
1999-04-21,0.3569,0.3640,0.3544,0.3628,3748800
1999-04-22,0.3640,0.3640,0.3437,0.3473,22718400
1999-04-23,0.3460,0.3473,0.3281,0.3304,12604800
1999-04-26,0.3304,0.3352,0.3065,0.3138,12350400
1999-04-27,0.3209,0.3496,0.3161,0.3473,22694400
1999-04-28,0.3496,0.3496,0.3341,0.3448,12009600
1999-04-29,0.3460,0.3473,0.3377,0.3448,4814400
1999-04-30,0.3485,0.3640,0.3460,0.3496,9931200
1999-05-03,0.3532,0.3532,0.3425,0.3521,3384000
1999-05-04,0.3521,0.3521,0.3257,0.3329,9604800
1999-05-05,0.3352,0.3400,0.3161,0.3400,14457600
1999-05-06,0.3377,0.3448,0.3234,0.3335,3561600
1999-05-07,0.3234,0.3377,0.3234,0.3352,2500800
1999-05-10,0.3329,0.3425,0.3329,0.3352,1968000
1999-05-11,0.3496,0.3640,0.3425,0.3532,17174400
1999-05-12,0.3569,0.3651,0.3521,0.3640,16848000
1999-05-13,0.3640,0.3735,0.3628,0.3640,6993600
1999-05-14,0.3640,0.3640,0.3400,0.3448,2846400
1999-05-17,0.3400,0.3617,0.3389,0.3617,3576000
1999-05-18,0.3651,0.3831,0.3544,0.3783,15153600
1999-05-19,0.3952,0.4096,0.3555,0.3617,45172800
1999-05-20,0.3640,0.3640,0.3197,0.3329,17817600
1999-05-21,0.3281,0.3281,0.3161,0.3257,30350400
1999-05-24,0.3281,0.3352,0.3197,0.3245,16262400
1999-05-25,0.3257,0.3304,0.3234,0.3268,13008000
1999-05-26,0.3257,0.3425,0.3257,0.3257,10473600
1999-05-27,0.3281,0.3281,0.3234,0.3234,8232000
1999-05-28,0.3281,0.3281,0.3234,0.3268,8865600
1999-06-01,0.3257,0.3281,0.3209,0.3281,9854400
1999-06-02,0.3281,0.3281,0.3161,0.3161,13012800
1999-06-03,0.3245,0.3268,0.3209,0.3245,4156800
1999-06-04,0.3268,0.3281,0.3245,0.3268,7891200
1999-06-07,0.3287,0.3352,0.3281,0.3304,12513600
1999-06-08,0.3316,0.3448,0.3304,0.3389,15331200
1999-06-09,0.3400,0.3521,0.3400,0.3448,9518400
1999-06-10,0.3448,0.3473,0.3425,0.3460,3609600
1999-06-11,0.3460,0.3473,0.3268,0.3400,6100800
1999-06-14,0.3394,0.3400,0.3234,0.3257,5164800
1999-06-15,0.3257,0.3281,0.3209,0.3257,4929600
1999-06-16,0.3304,0.3448,0.3257,0.3352,6441600
1999-06-17,0.3329,0.3377,0.3257,0.3257,7492800
1999-06-18,0.3281,0.3281,0.3138,0.3138,15873600
1999-06-21,0.3234,0.3304,0.3145,0.3304,8347200
1999-06-22,0.3304,0.3304,0.3172,0.3245,19305600
1999-06-23,0.3209,0.3304,0.3172,0.3304,21091200
1999-06-24,0.3329,0.3329,0.3209,0.3234,11520000
1999-06-25,0.3209,0.3316,0.3209,0.3281,7353600
1999-06-28,0.3389,0.3389,0.3257,0.3329,10915200
1999-06-29,0.3377,0.3412,0.3329,0.3364,9268800
1999-06-30,0.3473,0.3665,0.3400,0.3665,26923200
1999-07-01,0.3665,0.3665,0.3281,0.3473,8899200
1999-07-02,0.3521,0.3724,0.3448,0.3724,22488000
1999-07-06,0.3760,0.3760,0.3688,0.3735,19809600
1999-07-07,0.3760,0.3760,0.3665,0.3665,6312000
1999-07-08,0.3688,0.3808,0.3569,0.3747,18604800
1999-07-09,0.3735,0.4096,0.3735,0.4065,21172800
1999-07-12,0.4310,0.4431,0.4144,0.4251,40104000
1999-07-13,0.4299,0.4322,0.4071,0.4262,13886400
1999-07-14,0.4262,0.4358,0.4071,0.4096,13795200
1999-07-15,0.4130,0.4262,0.4119,0.4119,13704000
1999-07-16,0.4191,0.4239,0.4119,0.4203,10387200
1999-07-19,0.4214,0.4226,0.4071,0.4096,4363200
1999-07-20,0.4096,0.4096,0.3879,0.4023,17875200
1999-07-21,0.3975,0.3975,0.3783,0.3904,11208000
1999-07-22,0.3879,0.3879,0.3688,0.3724,21326400
1999-07-23,0.3712,0.3831,0.3712,0.3724,8025600
1999-07-26,0.3820,0.3820,0.3735,0.3735,6052800
1999-07-27,0.3735,0.3760,0.3688,0.3747,9859200
1999-07-28,0.3735,0.3856,0.3724,0.3808,24422400
1999-07-29,0.3735,0.3856,0.3712,0.3843,38880000
1999-07-30,0.3843,0.3952,0.3831,0.3856,45230400
1999-08-02,0.3856,0.3904,0.3831,0.3891,31334400
1999-08-03,0.3891,0.3891,0.3760,0.3795,25521600
1999-08-04,0.3820,0.3831,0.3783,0.3795,8995200
1999-08-05,0.3795,0.3856,0.3735,0.3856,24057600
1999-08-06,0.3843,0.3868,0.3831,0.3856,18398400
1999-08-09,0.3795,0.3904,0.3783,0.3856,3105600
1999-08-10,0.3879,0.4096,0.3856,0.3927,21206400
1999-08-11,0.4000,0.4239,0.3952,0.4191,19771200
1999-08-12,0.4214,0.4502,0.4191,0.4394,23961600
1999-08-13,0.4358,0.4442,0.4310,0.4347,8467200
1999-08-16,0.4383,0.4383,0.4034,0.4178,22344000
1999-08-17,0.4191,0.4262,0.4082,0.4191,19353600
1999-08-18,0.4144,0.4335,0.4059,0.4287,27988800
1999-08-19,0.4586,0.5437,0.4431,0.5245,196699200
1999-08-20,0.5209,0.5245,0.4958,0.5149,35308800
1999-08-23,0.5076,0.5076,0.4670,0.4837,50798400
1999-08-24,0.4766,0.4862,0.4527,0.4801,39806400
1999-08-25,0.4825,0.4873,0.4598,0.4789,35035200
1999-08-26,0.4789,0.4862,0.4645,0.4718,27537600
1999-08-27,0.4814,0.5172,0.4789,0.4981,55238400
1999-08-30,0.5065,0.5161,0.4753,0.4963,15864000
1999-08-31,0.4981,0.5412,0.4885,0.5389,78686400
1999-09-01,0.5389,0.5389,0.5053,0.5136,56534400
1999-09-02,0.4969,0.5101,0.4862,0.5076,34108800
1999-09-03,0.5172,0.5245,0.5076,0.5113,25886400
1999-09-07,0.5197,0.5197,0.5065,0.5088,12441600
1999-09-08,0.5101,0.5136,0.5076,0.5076,17006400
1999-09-09,0.5124,0.5161,0.4910,0.5006,20947200
1999-09-10,0.5088,0.5149,0.5053,0.5076,16742400
1999-09-13,0.5101,0.5101,0.4862,0.4910,17443200
1999-09-14,0.4910,0.4910,0.4741,0.4766,25036800
1999-09-15,0.4705,0.4862,0.4670,0.4801,21273600
1999-09-16,0.4741,0.4789,0.4622,0.4682,15811200
1999-09-17,0.4651,0.4693,0.4502,0.4670,17164800
1999-09-20,0.4586,0.4645,0.4502,0.4502,22910400
1999-09-21,0.4406,0.4431,0.4011,0.4071,73732800
1999-09-22,0.4071,0.4191,0.3831,0.4166,37598400
1999-09-23,0.4178,0.4191,0.3783,0.3820,37958400
1999-09-24,0.3831,0.3927,0.3209,0.3473,68491200
1999-09-27,0.3699,0.3760,0.3473,0.3688,43200000
1999-09-28,0.3693,0.4071,0.3688,0.4023,41318400
1999-09-29,0.4107,0.4262,0.3640,0.3699,59404800
1999-09-30,0.3831,0.3952,0.3640,0.3688,34252800
1999-10-01,0.3628,0.3760,0.3473,0.3665,34776000
1999-10-04,0.3783,0.3795,0.3688,0.3735,17760000
1999-10-05,0.3735,0.4119,0.3735,0.4096,47808000
1999-10-06,0.4107,0.4789,0.4071,0.4586,150873600
1999-10-07,0.4778,0.4778,0.4262,0.4287,48729600
1999-10-08,0.4287,0.4634,0.4119,0.4502,39892800
1999-10-11,0.4538,0.4550,0.4262,0.4383,54446400
